,company,rating,reviews,highlyRatedFor,jobs,salary
2127,Foray Software,3.5,(525),"Job Security, Promotions, Company Culture",32,3.6k
2128,HSBC Global Banking and Markets,3.9,(525),"Job Security, Company Culture, Work Life Balance",--,3.7k
2129,Muthoot MCred,3.5,(524),"Promotions, Job Security, Skill Development",11,1.5k
2130,Ge India Industrial,4.2,(523),"Company Culture, Job Security, Work Life Balance",--,1.9k
2131,Vivanta by Taj,4.2,(523),"Job Security, Skill Development, Company Culture",--,1k
2132,Kalyani Technoforge,3.8,(523),"Promotions, Job Security",3,2k
2133,Ascent Business Solutions,3.4,(523),"Salary, Promotions, Company Culture",16,2.9k
2134,Tradeshala,4.5,(522),"Work Life Balance, Skill Development, Company Culture",--,37
2135,ACTE,4.6,(522),"Work Satisfaction, Job Security, Company Culture",--,126
2136,Safari Industries India,4.0,(525),"Work Life Balance, Company Culture, Salary",6,1.8k
2137,Ziqitza Health Care,3.8,(522),Work Life Balance,--,1.2k
2138,Signature Global,3.8,(522),Salary,11,2.3k
2139,Great Learning,3.4,(522),"Promotions, Skill Development, Work Satisfaction",32,3.9k
2140,CMR Green Technologies,3.4,(522),"Work Life Balance, Job Security, Company Culture",61,1.8k
2141,PEGATRON,3.9,(521),Skill Development,4,2.1k
2142,MathCo,3.1,(521),"Job Security, Work Life Balance, Work Satisfaction",37,3.1k
2143,Axa XL,3.7,(522),"Work Life Balance, Job Security",45,3.8k
2144,Micron Technology,3.7,(521),"Promotions, Work Satisfaction",1,4.6k
2145,Alchemy Techsol India,3.4,(521),"Promotions, Job Security, Company Culture",--,2.2k
2146,Kandhari Beverages,3.7,(522),"Promotions, Company Culture",5,1.6k
2147,ATS Infrastructure,4.1,(520),"Work Life Balance, Company Culture, Work Satisfaction",--,1.8k
2148,Karvy Data Management Services,4.0,(520),"Work Satisfaction, Work Life Balance, Company Culture",--,2.2k
2149,MindGate Solutions,3.1,(520),"Company Culture, Work Life Balance, Promotions",14,3.2k
2150,Hindusthan National Glass,3.8,(520),"Promotions, Salary, Company Culture",--,2k
2151,Akal Information Systems,4.4,(520),"Company Culture, Work Life Balance, Work Satisfaction",--,1.8k
2152,ZEISS India,3.7,(518),"Promotions, Work Satisfaction, Skill Development",37,2.9k
2153,BCG,3.6,(518),"Promotions, Work Life Balance, Work Satisfaction",12,8.3k
2154,ServiceNow,3.8,(518),"Salary, Company Culture",--,6.1k
2155,BKT Tyres,4.2,(518),"Job Security, Salary, Company Culture",25,2k
2156,Mobile Programming,2.8,(518),"Job Security, Promotions, Company Culture",341,3.7k
2157,OMICS International,2.5,(517),"Promotions, Job Security, Salary",--,1.6k
2158,RapiPay,3.6,(517),"Promotions, Job Security, Work Satisfaction",--,1.7k
2159,Nivea,4.1,(518),"Company Culture, Work Life Balance, Salary",4,1.8k
2160,Gyan Dairy,4.1,(518),"Work Life Balance, Company Culture, Work Satisfaction",10,1.4k
2161,DiGibizz,,,"Work Life Balance, Skill Development",--,1
2162,Sarovar Hotels & Resorts,4.1,(516),"Work Life Balance, Work Satisfaction, Job Security",--,1.4k
2163,Johnson Matthey,3.8,(516),"Work Life Balance, Salary, Company Culture",15,1.9k
2164,Securitas,3.8,(516),Promotions,7,2.1k
2165,Bluestone.com,3.3,(516),"Promotions, Company Culture, Job Security",9,2.2k
2166,Lotus Herbals Private Limited,4.1,(516),"Work Life Balance, Job Security, Salary",1,1.5k
2167,QUICK HEAL TECHNOLOGIES,3.5,(515),"Promotions, Job Security, Skill Development",6,2.7k
2168,Quikr,3.6,(515),"Job Security, Promotions, Work Satisfaction",9,2.1k
2169,InCred Finance,3.9,(515),"Work Life Balance, Salary",29,2.6k
2170,Aparna Enterprises,3.9,(515),Work Life Balance,18,1.8k
2171,Deloitte Digital,3.8,(515),"Promotions, Work Satisfaction, Salary",--,3.4k
2172,TRINAMIX,4.4,(515),"Job Security, Company Culture, Skill Development",77,1k
2173,QHTalbros,3.8,(514),"Promotions, Salary",1,1.4k
2174,Cuemath,3.4,(515),"Promotions, Job Security, Work Satisfaction",1,1.9k
2175,Epiroc,4.0,(514),"Work Life Balance, Job Security, Company Culture",26,2.5k
2176,Yardi Systems,3.6,(514),"Job Security, Work Life Balance",--,2.7k
2177,Mars International India,4.2,(514),"Salary, Company Culture, Work Life Balance",16,1.7k
2178,Protium Finance,3.7,(514),Salary,1,2.2k
2179,Vishvaraj Environment,4.1,(513),"Salary, Work Life Balance",9,1.9k
2180,Poorvika Mobiles,3.9,(513),"Job Security, Company Culture, Skill Development",4,1.7k
2181,Ministry of Defence,4.4,(513),"Work Life Balance, Company Culture, Work Satisfaction",--,1.8k
2182,Rusan Pharma,3.5,(513),"Promotions, Company Culture, Salary",14,1.9k
2183,Voltech,3.5,(512),Skill Development,--,1.6k
2184,Markets and Markets,2.7,(513),"Skill Development, Company Culture, Work Satisfaction",22,2.8k
2185,Orcapod Consulting Services,3.0,(511),"Promotions, Job Security, Salary",28,1.9k
2186,Pace Setters Business Solutions,3.4,(511),"Promotions, Salary, Work Life Balance",2,1.3k
2187,Communications Test Design,3.7,(511),"Promotions, Company Culture, Work Satisfaction",35,1.8k
2188,Athenahealth Technology,3.9,(511),"Company Culture, Work Life Balance, Job Security",85,4.2k
2189,LIC Housing Finance,3.9,(512),"Work Life Balance, Job Security",1,1.5k
2190,Rakuten,3.5,(511),"Promotions, Work Satisfaction, Salary",13,5.6k
2191,Centum Learning,3.8,(510),"Promotions, Job Security, Company Culture",5,1.3k
2192,IDS Infotech,3.8,(511),Work Life Balance,6,1.4k
2193,Nelito System,3.2,(510),"Promotions, Skill Development, Salary",40,2.4k
2194,Cairn Vedanta Oil and Gas,3.7,(510),Salary,--,461
2195,Hinduja Tech,3.1,(510),"Promotions, Job Security, Salary",113,3.3k
2196,Tractebel,4.1,(510),"Company Culture, Work Life Balance, Work Satisfaction",17,1.7k
2197,Techwave Consulting,3.6,(509),"Promotions, Salary, Work Satisfaction",19,3.7k
2198,Par Health,4.1,(508),"Work Life Balance, Salary, Company Culture",--,2.1k
2199,Sri Krishna Pharmaceuticals,3.9,(507),"Work Life Balance, Job Security",7,1.9k
2200,Leighton Contractors,4.0,(507),"Salary, Company Culture, Work Life Balance",6,1.2k
2201,Emerson Electric Co.,4.0,(507),"Work Life Balance, Company Culture, Job Security",214,3.2k
2202,QBurst Technologies,4.2,(506),"Work Life Balance, Company Culture, Salary",--,4.1k
2203,Pepperfry,3.0,(506),"Promotions, Job Security, Company Culture",34,2k
2204,Varuna Integrated Logistics,3.7,(505),Promotions,7,1.6k
2205,Kirby Building Systems,3.9,(505),"Job Security, Work Life Balance",1,1.9k
2206,Iol Chemicals & Pharmaceuticals,3.8,(505),"Salary, Job Security",--,2k
2207,2COMS,3.1,(505),"Promotions, Company Culture, Work Satisfaction",364,1.5k
2208,ASM Technologies,3.5,(506),"Promotions, Skill Development, Work Satisfaction",33,3.6k
2209,Gilbarco Veeder Root,3.7,(505),"Promotions, Job Security, Work Life Balance",34,2.2k
2210,BharatMatrimony.com,3.9,(505),"Company Culture, Job Security",--,1.4k
2211,CARE,4.3,(504),"Company Culture, Work Life Balance, Skill Development",--,1.2k
2212,MediBuddy,3.3,(505),"Promotions, Job Security, Work Satisfaction",13,2.5k
2213,Global Autotech,3.9,(504),"Job Security, Skill Development, Company Culture",4,2.1k
2214,Moon Beverages,3.8,(503),Work Life Balance,2,1.7k
2215,Value Point Systems,3.5,(504),"Promotions, Salary, Company Culture",115,2.2k
2216,Romsons Group Of Industries,3.7,(503),"Promotions, Company Culture, Skill Development",22,1.7k
2217,EID Parry (India),3.9,(503),"Company Culture, Skill Development, Salary",13,1.6k
2218,N+A,3.8,(503),"Company Culture, Job Security, Skill Development",1,18.7k
2219,TAO Digital,3.5,(504),"Promotions, Job Security, Skill Development",66,1.6k
2220,TAO Digital,3.5,(504),"Promotions, Job Security, Skill Development",66,1.6k
2221,KRBL Limited,3.8,(501),"Work Life Balance, Job Security",2,1.7k
2222,Infovision,3.6,(501),"Job Security, Promotions",41,4.1k
2223,LogixHealth,3.4,(501),"Promotions, Skill Development, Work Satisfaction",10,2.3k
2224,Vakrangee,3.6,(501),"Promotions, Job Security, Work Satisfaction",5,1.1k
2225,Welspun Transformation Services Limited,4.1,(500),"Skill Development, Company Culture, Work Life Balance",1,883
2226,Saxo Bank,3.7,(501),"Salary, Work Life Balance",21,2.5k
2227,Invesco,3.6,(500),Work Life Balance,48,3.4k
2228,Mahanagar Gas,4.2,(500),"Work Life Balance, Company Culture, Job Security",3,2.2k
2229,House of EdTech,4.2,(500),"Salary, Promotions, Skill Development",17,287
2230,Encube Ethicals,3.7,(500),"Job Security, Skill Development",18,2.4k
2231,CollegeDekho,2.7,(500),"Promotions, Job Security, Company Culture",16,2.5k
2232,Symbiotec Pharmalab,3.9,(499),"Job Security, Work Life Balance",5,2k
2233,Flowserve,3.7,(499),"Promotions, Skill Development, Work Satisfaction",49,3.4k
2234,Visa,3.4,(499),"Promotions, Work Satisfaction, Job Security",--,7.2k
2235,Texmo Industries,3.7,(500),Job Security,4,1.6k
2236,L. N. Malviya Infra Projects Group,3.1,(499),"Promotions, Salary, Company Culture",8,1.2k
2237,Knowledgeworks Global,2.9,(500),"Promotions, Company Culture, Skill Development",19,2.3k
2238,Kellton,2.9,(499),"Promotions, Company Culture, Work Satisfaction",11,3.4k
2239,Future Lifestyle Fashion,4.2,(498),"Skill Development, Company Culture, Work Life Balance",--,1.6k
2240,Medikabazaar,4.2,(498),"Work Life Balance, Salary, Company Culture",1,1.1k
2241,C-Edge Technologies,3.7,(498),"Job Security, Work Life Balance",10,2.8k
2242,Equiniti,3.6,(498),Work Life Balance,12,3.4k
2243,Siemens Healthineers,3.9,(498),"Work Life Balance, Job Security, Company Culture",--,4.1k
2244,Otsuka Pharmaceutical India Private Limited,4.1,(498),"Work Life Balance, Job Security, Company Culture",27,1.6k
2245,Buzzworks Business Services,3.6,(498),"Promotions, Job Security, Work Satisfaction",3,2.1k
2246,Cosmo Films,3.7,(497),Job Security,20,2.1k
2247,Sterling Holiday Resort,3.8,(497),Job Security,9,1.6k
2248,Comcast,3.9,(497),"Work Life Balance, Company Culture, Salary",4,6k
2249,Everforth Quinnox,3.9,(497),"Work Life Balance, Company Culture",70,3.4k
2250,Allana Group of Companies,3.7,(497),"Promotions, Work Satisfaction, Skill Development",--,1.6k
2251,Think Gas Ludhiana,3.6,(497),"Job Security, Work Satisfaction, Promotions",1,2.4k
2252,India Glycols,4.0,(497),"Work Life Balance, Job Security, Work Satisfaction",7,1.9k
2253,SUEZ Group,4.2,(496),"Work Life Balance, Job Security, Work Satisfaction",1,2k
2254,Paradeep Phosphates,3.8,(496),Job Security,3,1.6k
2255,Maersk Line,4.0,(497),"Work Life Balance, Company Culture, Salary",--,2.4k
2256,Titagarh Rail Systems,2.6,(496),"Company Culture, Work Life Balance, Work Satisfaction",3,1.9k
2257,WM Universal Solutions Private Limited,3.6,(496),"Job Security, Work Life Balance",162,2.3k
2258,GD Goenka Public School,3.4,(496),"Promotions, Job Security, Company Culture",18,1.3k
2259,HealthifyMe,2.7,(495),"Job Security, Promotions, Company Culture",4,1.6k
2260,Samsung Display,3.7,(496),"Job Security, Work Life Balance",--,2.2k
2261,Realty Assistant,3.6,(497),"Work Life Balance, Work Satisfaction, Job Security",22,699
2262,Namaste India Foods,3.9,(495),Work Life Balance,--,1.3k
2263,NJ India Invest,3.7,(495),Job Security,42,1.1k
2264,Ppap Automotive,3.7,(496),"Promotions, Salary",--,1.8k
2265,Lite Bite Foods,4.4,(494),"Company Culture, Work Life Balance, Work Satisfaction",4,1.3k
2266,Brainvire,2.8,(494),"Job Security, Promotions, Work Satisfaction",19,1.7k
2267,Jiva Ayurvedic Pharmacy,3.7,(494),"Work Life Balance, Job Security",28,1.2k
2268,Mediamint,2.8,(493),"Promotions, Work Satisfaction, Skill Development",63,3.1k
2269,AIG Hospital,4.2,(493),"Job Security, Skill Development, Company Culture",--,1.7k
2270,Fynd,2.9,(492),"Job Security, Company Culture, Work Life Balance",15,2.3k
2271,Giesecke & Devrient,3.4,(492),"Promotions, Skill Development, Salary",8,2.2k
2272,Aditya Birla Housing Finance,3.8,(492),Salary,--,1.9k
2273,Bira 91,3.3,(492),"Job Security, Work Satisfaction, Promotions",--,1.5k
2274,Jumbotail Technologies,3.6,(491),"Promotions, Job Security, Company Culture",4,1.7k
2275,SBI Mutual Fund,3.7,(491),Job Security,19,1.9k
2276,Matrix Business Services,3.5,(490),"Promotions, Salary, Company Culture",10,2k
2277,NTPC GE Power Services,3.9,(490),"Salary, Work Life Balance",--,1.6k
2278,Aludecor Lamination,3.8,(490),Skill Development,16,1.7k
2279,Common Service Centres,4.4,(490),"Work Life Balance, Work Satisfaction, Skill Development",--,1.2k
2280,Thales,3.5,(490),Work Life Balance,172,3.6k
2281,Technico Industries,3.6,(490),"Promotions, Company Culture, Work Satisfaction",7,2k
2282,Alpla,3.9,(490),"Job Security, Work Life Balance, Skill Development",30,1.8k
2283,Grindwell Norton,3.6,(489),"Promotions, Salary, Work Satisfaction",28,1.8k
2284,Numeric UPS,4.0,(489),"Company Culture, Work Life Balance, Job Security",24,1.2k
2285,Mediterranean Shipping Company,4.0,(488),"Job Security, Company Culture, Work Life Balance",1,2.4k
2286,Plastic Omnium,3.7,(488),"Promotions, Job Security",21,2k
2287,ESDS Software Solutions,3.3,(488),"Promotions, Salary, Job Security",61,3.1k
2288,RND Softech,3.1,(488),"Promotions, Salary, Company Culture",--,2k
2289,Bridgestone India Automotive Products,4.1,(488),"Company Culture, Work Life Balance, Job Security",--,2.3k
2290,Akamai Technologies,4.4,(489),"Company Culture, Work Life Balance, Work Satisfaction",64,4.5k
2291,Juniper Networks,4.2,(488),"Company Culture, Work Life Balance, Salary",--,4.4k
2292,Clix Capital Services,4.0,(487),"Company Culture, Skill Development, Salary",497,1.6k
2293,Clove Dental,4.0,(487),"Job Security, Skill Development, Company Culture",18,1.3k
2294,Trimax IT Infrastructure Services,3.7,(487),"Promotions, Salary, Company Culture",--,1.1k
2295,Go First,3.9,(487),"Work Satisfaction, Skill Development",--,1.9k
2296,TresVista,2.3,(488),"Work Life Balance, Work Satisfaction, Company Culture",67,3.3k
2297,Ivrcl Infrastructures & Projects,4.3,(487),"Work Life Balance, Work Satisfaction, Company Culture",3,846
2298,ZF Friedrichshafen,3.8,(486),Work Life Balance,--,2.2k
2299,Cadbury,4.3,(486),"Work Satisfaction, Company Culture, Work Life Balance",--,1k
2300,Cadbury,4.3,(486),"Work Satisfaction, Company Culture, Work Life Balance",--,1k
2301,Xanadu,3.6,(487),Salary,5,1.9k
2302,Gopal Snacks Limited,4.2,(486),"Company Culture, Work Life Balance, Skill Development",2,1.2k
2303,Sadbhav Engineering,4.2,(485),"Company Culture, Work Life Balance, Work Satisfaction",--,1.3k
2304,Honda Logistics,3.6,(486),"Promotions, Salary, Work Satisfaction",6,1.5k
2305,Westin,4.0,(485),"Job Security, Company Culture, Skill Development",4,1.3k
2306,Godrej Interio,3.9,(485),Job Security,--,2k
2307,Xerox,3.7,(486),Work Life Balance,30,2.1k
2308,Sany Heavy Industry,3.7,(484),"Promotions, Company Culture, Work Satisfaction",1,2k
2309,Dow Chemical International Private Limited,3.5,(484),"Promotions, Job Security, Work Satisfaction",78,2.4k
2310,Avalara Technologies,2.7,(484),"Job Security, Promotions, Work Satisfaction",9,3.5k
2311,Cloud4C,3.5,(484),Job Security,--,3.1k
2312,Saud Bahwan Group,3.7,(483),Work Life Balance,--,982
2313,Onshore Construction,3.7,(484),"Promotions, Company Culture, Work Life Balance",10,1.6k
2314,MKC Infrastructure Ltd.,3.4,(483),"Promotions, Company Culture, Salary",15,1.5k
2315,Confidence Petroleum India,3.3,(483),"Promotions, Job Security, Salary",10,1.7k
2316,Landis+Gyr,2.9,(482),"Job Security, Skill Development, Work Satisfaction",58,2.8k
2317,Meghmani Organics,3.8,(482),Job Security,4,2.3k
2318,Mikuni,4.1,(482),"Job Security, Work Life Balance, Company Culture",--,1.4k
2319,Jindal Aluminium,3.9,(482),Salary,20,2k
2320,Tetra Pak,4.1,(482),"Company Culture, Work Life Balance, Job Security",3,2.5k
2321,Avery Dennison,3.7,(482),"Promotions, Skill Development, Work Satisfaction",33,2k
2322,Kaynes Technology,3.1,(482),"Promotions, Salary, Company Culture",10,1.8k
2323,Suzlon Global Services,3.8,(482),"Skill Development, Job Security",--,1.3k
2324,Nash Industries,3.3,(482),"Company Culture, Promotions, Salary",1,2.3k
2325,Bhilosa Industries,3.6,(482),"Promotions, Salary, Company Culture",3,2.3k
2326,Thought Focus,3.2,(482),"Promotions, Skill Development, Company Culture",38,3.6k
2327,Keysight Technologies,3.8,(481),"Work Life Balance, Company Culture, Job Security",55,2.7k
2328,Teradata,3.5,(481),Work Life Balance,14,3.7k
2329,Shalimar Paints,3.5,(481),"Promotions, Job Security, Company Culture",5,1.6k
2330,CS TECH Ai,3.9,(481),"Salary, Work Life Balance",--,1.6k
2331,Cera Sanitaryware,4.0,(480),"Salary, Work Life Balance",3,1.7k
2332,Paharpur Cooling Towers,3.9,(480),"Job Security, Salary",6,2k
2333,Purplle.com,3.5,(480),"Promotions, Work Satisfaction, Company Culture",--,2.1k
2334,Star Bazaar,3.7,(479),"Promotions, Work Satisfaction, Salary",1,1.5k
2335,Speridian Technologies,3.5,(479),"Job Security, Promotions, Salary",4,3.3k
2336,Greenpanel Industries,3.9,(480),"Salary, Work Life Balance",1,1.9k
2337,Atyati Technologies,3.9,(479),"Company Culture, Work Life Balance, Job Security",3,1.5k
2338,Grant Thornton Bharat,3.4,(479),"Promotions, Work Satisfaction, Work Life Balance",16,2.7k
2339,Central Public Works Department,4.1,(479),"Work Life Balance, Work Satisfaction, Skill Development",--,1.3k
2340,Riya Travel,3.6,(478),"Promotions, Work Satisfaction, Salary",4,1.5k
2341,Liberty General Insurance,3.6,(478),"Promotions, Work Satisfaction, Company Culture",--,1.9k
2342,Gulf Oil Lubricants,4.1,(478),"Work Life Balance, Salary, Company Culture",3,1.8k
2343,Sayaji Hotels,4.1,(478),"Company Culture, Work Life Balance, Job Security",4,1k
2344,Visaka Industries,3.8,(478),Work Life Balance,16,1.7k
2345,Yethi Consulting,3.4,(478),"Promotions, Company Culture, Salary",4,3.4k
2346,Ramco Industries,4.1,(478),"Job Security, Work Life Balance, Work Satisfaction",3,1.9k
2347,Stryker,3.8,(478),"Work Life Balance, Company Culture",14,3.8k
2348,Prime Focus Technologies,3.0,(477),"Promotions, Salary, Job Security",--,2.2k
2349,Hyundai Glovis,3.6,(477),"Promotions, Work Satisfaction, Job Security",3,1.9k
2350,Henkel Adhesives Technologies,4.1,(477),"Work Life Balance, Company Culture, Salary",5,2.1k
2351,Tata International,3.5,(477),"Promotions, Salary, Work Satisfaction",19,2.2k
2352,GM Modular,3.8,(477),Work Life Balance,28,1.9k
2353,Qcon,4.3,(477),"Company Culture, Work Life Balance, Work Satisfaction",--,1.1k
2354,NBTC GROUP,3.4,(476),"Company Culture, Promotions, Work Life Balance",2,1k
2355,McNally Bharat Engineering,3.9,(476),"Work Life Balance, Job Security",1,1.4k
2356,LuLu Group International,3.4,(476),"Promotions, Salary, Company Culture",--,2.3k
2357,Jupiter Hospital,4.0,(476),"Job Security, Skill Development",8,1.7k
2358,AIRBUS,3.6,(477),"Work Life Balance, Job Security",4,4.9k
2359,MagicPin,2.5,(477),"Job Security, Company Culture, Work Life Balance",5,1.9k
2360,Anthem Biosciences,3.9,(476),"Salary, Job Security",--,2.7k
2361,Allied Blenders & Distillers,4.0,(477),"Job Security, Work Life Balance",6,1.5k
2362,In Time Tec Visionsoft,3.2,(475),"Promotions, Salary, Work Life Balance",19,2.5k
2363,Bahwan Engineering,4.0,(475),"Work Life Balance, Job Security, Company Culture",--,998
2364,Dana India,4.0,(474),"Company Culture, Work Life Balance, Skill Development",4,1.7k
2365,Espire Infolabs,2.3,(473),"Promotions, Job Security, Skill Development",32,2.6k
2366,Revent Group,3.8,(473),"Promotions, Company Culture",2,732
2367,Symphony,4.6,(473),"Work Life Balance, Company Culture, Work Satisfaction",1,1.1k
2368,Oriental Structural Engineers,4.3,(474),"Company Culture, Work Life Balance, Work Satisfaction",2,1.2k
2369,Realme,3.6,(473),"Job Security, Promotions, Company Culture",2,1.7k
2370,Gaurs Group,4.2,(473),"Work Life Balance, Company Culture, Work Satisfaction",16,1.6k
2371,Bharat Seats,3.7,(473),"Promotions, Company Culture, Job Security",11,1.6k
2372,Bhagwati Products,3.5,(472),"Promotions, Company Culture, Job Security",10,1.3k
2373,Magneti Marelli Motherson Auto System,3.9,(472),Job Security,--,1.3k
2374,Seoyon E-hwa Automotive,3.5,(472),"Promotions, Company Culture, Salary",5,2.3k
2375,Marble Box,3.8,(472),"Job Security, Promotions",--,860
2376,British Council,3.5,(472),"Promotions, Job Security, Salary",15,2k
2377,Stovekraft,3.9,(472),"Work Life Balance, Work Satisfaction, Salary",13,1.9k
2378,Zypp Electric,4.0,(472),"Salary, Company Culture, Work Life Balance",12,1k
2379,Kiswok Industries,3.3,(472),"Promotions, Company Culture, Salary",3,1.8k
2380,iNurture Education Solutions,2.5,(471),"Promotions, Salary, Work Satisfaction",3,1.4k
2381,GHCL Limited,3.9,(471),"Work Life Balance, Job Security, Company Culture",6,1.6k
2382,Bandhan Life,3.2,(471),"Work Satisfaction, Promotions, Company Culture",37,1.3k
2383,LT Foods,3.8,(472),"Work Life Balance, Job Security",2,1.7k
2384,CommScope,3.8,(471),"Work Life Balance, Salary",11,3.1k
2385,Torrent Gas,3.1,(471),"Promotions, Salary, Work Satisfaction",2,2.3k
2386,Dharampal Premchand,4.3,(470),"Work Life Balance, Job Security, Company Culture",1,1.3k
2387,Texmaco Rail and Engineering,3.8,(470),Job Security,13,1.8k
2388,Loadshare Networks,3.5,(470),"Job Security, Promotions, Company Culture",23,1.7k
2389,Mahle Anand Thermal Systems,4.1,(469),"Job Security, Company Culture, Skill Development",--,1.7k
2390,SBI Capital Markets,3.7,(470),"Promotions, Company Culture, Work Satisfaction",--,2.3k
2391,Anunta Technology Management Services,3.3,(469),"Promotions, Job Security, Company Culture",6,2.3k
2392,Mymd Healthcare,4.2,(469),"Salary, Company Culture, Work Life Balance",--,424
2393,Sulekha.com,3.3,(469),"Promotions, Work Satisfaction, Skill Development",1,1.6k
2394,Willis Towers Watson,3.7,(470),"Work Life Balance, Job Security",19,7.9k
2395,Pratham Education Foundation,4.2,(469),"Skill Development, Company Culture, Work Life Balance",--,990
2396,NKG Infrastructure,3.2,(468),"Promotions, Job Security, Salary",--,1.4k
2397,Paper Boat(Hector Beverages Pvt. Ltd.),3.9,(468),"Salary, Work Life Balance, Job Security",2,1.4k
2398,Kyungshin Industrial Motherson,3.3,(468),"Promotions, Salary, Company Culture",--,2.2k
2399,Venky's,3.7,(467),"Job Security, Work Life Balance",2,1.6k
2400,Aimil Pharmaceuticals,3.6,(467),"Promotions, Salary, Work Satisfaction",2,1.8k
2401,Pocket FM,2.7,(467),"Job Security, Promotions, Company Culture",11,2.1k
2402,AQM Technologies,3.1,(467),"Company Culture, Promotions, Work Life Balance",46,3.7k
2403,Gokaldas Exports,3.9,(467),Job Security,17,1.8k
2404,Iksula,3.1,(466),"Job Security, Promotions, Company Culture",1,1.9k
2405,Synopsys,3.5,(466),"Promotions, Skill Development, Work Satisfaction",56,4.1k
2406,SISL Infotech,3.5,(466),"Promotions, Job Security, Skill Development",277,2.5k
2407,Aizant Drug Research Solutions,4.2,(466),"Work Life Balance, Work Satisfaction, Skill Development",7,1.3k
2408,Puravankara,3.4,(466),"Promotions, Skill Development, Work Satisfaction",31,2k
2409,St. Xavier's High School,3.7,(466),"Promotions, Company Culture, Job Security",35,1.5k
2410,Kolte Patil Developers,4.1,(466),"Work Life Balance, Salary, Company Culture",26,2k
2411,Indofil Industries,4.1,(466),"Work Life Balance, Salary, Company Culture",--,2k
2412,Balmer Lawrie,3.5,(466),Job Security,--,1.9k
2413,Ergode,3.2,(465),"Job Security, Promotions, Company Culture",61,1.5k
2414,Eurokids,4.0,(465),"Skill Development, Company Culture, Work Life Balance",2,1.4k
2415,Del Monte Foods,4.0,(465),"Work Life Balance, Salary",11,1.6k
2416,Novotel Hotels,4.0,(465),"Job Security, Skill Development",--,1.3k
2417,SMEC,3.7,(465),"Promotions, Job Security",44,1.5k
2418,Caresoft Global,3.3,(465),"Promotions, Salary, Company Culture",1,3.3k
2419,Sahyadri Hospital,4.2,(465),"Skill Development, Company Culture, Job Security",48,1.5k
2420,RPG Life Sciences,3.6,(464),"Promotions, Salary, Work Satisfaction",5,1.6k
2421,Emergys,3.4,(464),"Promotions, Salary, Job Security",5,3.3k
2422,Flamingo Pharmaceuticals,3.1,(464),"Promotions, Company Culture, Salary",21,1.9k
2423,Essjay Ericsson,4.2,(463),"Company Culture, Skill Development, Work Life Balance",--,873
2424,Orion Innovation,3.5,(465),"Promotions, Company Culture, Job Security",--,3.7k
2425,Subex,3.4,(463),"Promotions, Salary, Work Satisfaction",11,3.2k
2426,Bada Business,4.0,(463),"Company Culture, Work Life Balance, Work Satisfaction",641,1.6k
2427,Prodair Air Products,3.7,(462),"Work Life Balance, Salary, Company Culture",--,2.4k
2428,Honour Lab,3.9,(463),Job Security,--,1.8k
2429,Birla White,4.0,(462),"Job Security, Work Life Balance, Salary",--,1.3k
2430,Polestar Analytics,4.1,(462),"Salary, Work Life Balance, Promotions",4,1.2k
2431,Railtel Corporation Of India,3.6,(461),"Promotions, Company Culture, Salary",--,2k
2432,Ashapura Group Of Industries,4.1,(461),"Work Life Balance, Job Security, Company Culture",7,1.8k
2433,CodeClouds,3.9,(461),"Work Life Balance, Company Culture, Salary",36,1.2k
2434,Yusen Logistics,4.0,(461),"Job Security, Work Life Balance, Skill Development",7,1.8k
2435,Vision India Services,4.0,(462),"Company Culture, Work Life Balance, Work Satisfaction",--,1.4k
2436,ITI,3.7,(460),"Work Life Balance, Skill Development",--,1.4k
2437,Red Hat,4.4,(460),"Company Culture, Work Life Balance, Skill Development",30,3.8k
2438,Haleon,3.5,(460),"Promotions, Job Security, Work Satisfaction",84,1.6k
2439,Saudi Binladin Group,4.2,(460),"Work Life Balance, Work Satisfaction, Company Culture",--,741
2440,Miracle Software Systems,3.8,(459),"Skill Development, Work Life Balance, Work Satisfaction",16,2k
2441,JNS Instruments,3.9,(459),"Work Life Balance, Company Culture, Work Satisfaction",12,1.9k
2442,Allegis Group,3.5,(459),"Promotions, Work Satisfaction, Skill Development",1,2.8k
2443,Bharat Bijlee,4.2,(459),"Work Life Balance, Job Security, Company Culture",11,1.6k
2444,Kataria Automobiles,3.6,(459),"Work Satisfaction, Job Security, Promotions",4,1.6k
2445,Tutopia,4.5,(459),"Company Culture, Work Life Balance, Work Satisfaction",1,419
2446,HealthKart,3.9,(458),"Work Life Balance, Company Culture, Job Security",37,2.1k
2447,B. Braun Medical,4.1,(458),"Work Life Balance, Company Culture, Job Security",13,1.7k
2448,NetApp,3.7,(458),Salary,85,4.3k
2449,Neilsoft,3.0,(458),"Promotions, Work Satisfaction, Skill Development",85,3.1k
2450,Rapido,3.5,(458),"Promotions, Work Satisfaction, Job Security",4,2.4k
2451,Flatworld Solutions,3.2,(458),"Promotions, Skill Development, Salary",29,2.9k
2452,Echobooom Management & Entrepreneurial Solutions,3.9,(458),"Company Culture, Skill Development, Work Satisfaction",32,501
2453,Nuvama Wealth and Investment,3.3,(459),"Work Satisfaction, Promotions, Job Security",14,2.5k
2454,Godrej Jersey,4.1,(457),"Company Culture, Work Life Balance, Job Security",4,1.3k
2455,SirionLabs,3.9,(457),"Salary, Company Culture, Work Life Balance",8,2k
